报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
流动负债(万元),20368,27370,25232,56363,51740,55539,53357,25684,7521,8801,8765,12839,8747,16041,19931,23523,32951,2294,2795,1788,2652,4467,3198,3329,2784,3550,2924,2242,2369,3328,7337,1791,1834,5487,3641,3234,3474,--,3524,2741,1160,
股东权益不含少数股东权益(万元),281142,278776,274918,276210,287049,286349,294027,285789,274179,264627,254673,246948,232169,220473,216309,208477,198058,80075,77654,74940,73736,71909,76483,73831,71597,69630,72669,70441,68638,66800,64210,67228,65093,63586,19860,17734,15932,0,12971,11612,8394,
净资产收益率加权(%),1.77,0.92,-0.47,-3.33,0.44,0.2,2.84,14.27,10.45,6.91,3.08,18.21,12.22,7.09,3.69,20.71,16.12,6.62,3.56,10.95,9.46,6.91,3.53,12.28,9.37,6.41,3.11,12.78,10.18,7.44,3.5,14.43,11.41,11.27,0,48.13,37.79,0,54.55,37.69,44.31,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
