报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31,
净利润(扣除非经常性损益后)(万元),5609,3913,1066,6947,7360,6972,1784,8558,8533,6903,1274,6406,3969,2500,1615,6485,5339,836,360,3145,1474,967,86,1013,-1130,157,133,-7121,--,-1996,--,-5629,--,-2516,--,-2405,--,-928,--,608,--,415,0,371,0,756,--,1332,0,1505,2138,--,1069,1421,
经营活动产生的现金流量净额(万元),-7798,-8459,-9004,-8426,917,-2011,1280,23874,37615,5601,-12262,-5007,9785,9287,-2242,1564,13887,10956,9425,9099,4591,6811,6922,-6632,-11032,-9562,-8948,-21430,-7440,-5315,4269,-19241,-1498,-739,-268,-2647,-1501,-391,268,-3694,-4825,-701,-230,1662,1634,1287,902,-809,-208,1382,3464,517,788,1258,
现金及现金等价物净增加额(万元),34410,34152,1944,314,723,-1180,-535,-34,4482,-1088,5498,-16710,-10302,-3508,-738,12555,2754,28617,-4346,3157,-1198,-775,-2478,-247,-2086,-948,272,-3361,-5400,3420,-457,-2526,-9276,-8979,-9348,8705,-855,-520,262,-4974,-5790,-380,-2407,-786,1335,4090,423,4405,12940,-1493,1359,-926,938,272,
总资产(万元),245130,244120,211784,212203,239698,261047,290360,289695,301122,276297,259479,243127,213270,204149,204505,202993,165401,185213,150073,150050,119481,113839,112523,114910,100841,121151,118961,90816,85008,92691,87107,92612,67622,67002,45662,54810,44472,43453,43551,40978,41235,40668,35416,35771,35303,35476,30236,30357,34970,19659,16921,--,12974,10551,
流动资产(万元),163241,162193,129626,129182,156971,179019,207869,204745,189768,177397,163805,149981,127809,132049,137464,136032,113567,135117,99598,99677,71716,68842,65638,67906,81719,103301,100964,70314,64821,72191,65644,70879,41752,40718,19159,28379,21149,20395,21082,20183,21491,21565,19127,19711,21893,23353,18169,18300,25860,10094,10328,--,7553,5990,
总负债(万元),83163,84112,99569,100822,128811,150937,183595,184593,207574,184612,173624,158545,131515,124024,123259,123399,87769,111533,125774,126140,97695,92590,92665,95172,82688,104265,102450,74479,65531,71516,65407,69665,48035,46556,23696,32099,20342,19070,17983,15628,15392,15374,10733,10996,10133,10371,5766,5989,10860,10861,8997,--,7007,5913,
流动负债(万元),69956,70905,86312,87856,115074,137281,169987,170985,174461,151499,140517,125837,98870,92879,93520,95660,60351,84252,97923,102789,49279,44279,44352,46919,13468,43145,41335,41357,50383,56371,61405,65707,41927,40447,17544,26217,13596,12324,11237,11536,11759,11741,10600,10863,10014,10252,5641,5864,7000,7022,5808,--,4800,4795,
股东权益不含少数股东权益(万元),161987,160006,112207,111367,110885,110108,106763,105099,93528,91680,85842,84573,81737,80125,81246,79594,77619,73665,24284,23895,21770,21233,19840,19720,18135,16868,16492,16317,19456,21153,21678,22924,19564,20422,21942,22687,24105,24359,25543,25326,25818,25269,24658,24749,25144,25078,24444,24343,24086,8773,7899,--,5937,4578,
净资产收益率加权(%),4.53,3.51,0.96,7.57,7.16,6.65,1.73,21.71,10.1,8.1,1.52,8.54,5.31,3.37,2.07,12.56,10.52,2.63,1.42,19.08,9.77,7.21,0.55,19.1,10.71,3.42,1.1,-33.61,-16.42,-8.08,-5.62,1.11,-14.77,-10.5,-3.34,-10.26,-4.15,-3.1,0.85,2.73,--,2.09,0,1.64,0,3.01,--,17.25,0,18.53,31.67,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
