报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
净利润(扣除非经常性损益后)(万元),1706,1073,574,3485,4094,1220,1036,7535,8673,2439,2163,2799,6280,1398,1583,15471,6099,3215,3039,5614,4269,2837,2133,3846,2012,1400,1877,702,--,1020,--,2281,--,1274,--,1202,--,-1372,--,1960,--,1095,0,789,0,522,--,-892,0,-292,--,-783,--,32,--,-3985,0,381,0,-700,0,-1246,0,-4196,0,-3008,0,-3939,-2267,-1714,--,-772,-898,-825,-519,1526,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),17199,18039,8909,17270,2080,4278,3227,38183,18020,11276,2824,-6855,-9454,-4790,-15300,16120,-5579,-5574,-10283,-3384,-1501,-6420,-10168,10748,-11769,-10638,-3167,4090,2300,-4488,-2738,2569,1386,4390,-1913,1037,-2728,-2040,1795,8793,9355,6507,1663,1491,1015,2049,3511,-1454,-4403,-4599,-1358,26,-3246,-2492,-3042,-3904,1183,-357,-1430,3291,-2456,-3876,-3205,-31,-199,255,228,-6106,--,-350,--,6424,1839,-5395,-1843,-3187,--,1970,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-26282,-23424,-25077,4148,-19036,2371,-10942,2491,-5389,14880,-3689,-28546,-25980,-17343,-17021,-24837,-31100,-28516,-10868,62016,-14793,-10317,-10704,19141,12967,19281,-2043,-878,4541,-956,-965,-936,-1144,399,2913,-2176,-2870,-1476,75,6422,497,-12,1033,-101,-735,849,1057,620,484,624,394,-5926,--,-2973,--,4229,-49,-518,-980,617,28,-1027,1810,-430,0,992,0,-10393,--,-3099,--,886,-3046,-3674,-7377,14327,--,-2604,--,--,--,--,--,--,
总资产(万元),522188,520153,518128,539971,517969,508887,498564,504678,369789,353188,320915,311570,317891,304001,299204,282475,267402,260173,236933,232860,143313,137283,143726,145907,139037,139226,98101,95376,103255,110413,85411,82332,81219,80918,85862,83470,83779,80200,81975,80409,68247,66229,67582,66389,69195,68950,67725,70602,84015,84637,79897,66877,66829,68498,76767,76213,96091,94845,67053,68705,58896,57764,64983,56228,59755,57205,57064,51509,52451,50526,51549,53476,59657,74262,68077,77600,51819,47554,45172,40968,30765,20361,17932,15427,
流动资产(万元),216526,212985,211762,247709,231845,229672,222389,237576,174091,147193,119562,121306,160959,144498,141751,139152,136857,134054,137133,137389,62080,54743,63669,65004,71673,71724,34259,31853,44952,36530,32661,29257,27671,27542,33895,31702,34058,31647,33232,31175,23183,21816,29203,27843,28571,28214,26916,29646,44147,36200,35818,41436,--,40372,--,38627,45356,43064,29285,30726,32334,31885,37603,29695,0,27133,--,0,26279,--,34727,37100,0,0,0,0,32032,30379,31886,29054,21231,14764,13595,11902,
总负债(万元),237193,235861,234340,257180,241617,235176,224461,232787,152244,167551,136698,129353,133619,124079,117250,108701,96824,93123,47531,51816,56176,51545,57266,62150,56626,57134,61367,60690,69044,80801,56641,53798,52733,52340,57981,55744,51155,47588,67898,66556,53500,51715,52629,51783,50705,48773,47729,50765,54622,58802,55314,43542,--,46958,--,55282,63162,60579,39315,40075,30379,29510,36544,28967,--,30971,--,24466,20976,19589,19401,20702,26886,--,30912,40662,22567,19512,17174,16853,8800,9824,10045,8564,
流动负债(万元),172394,177006,203399,231993,220221,221244,180054,184713,99236,111418,103780,104406,106450,106807,99616,91064,70926,67221,46946,51231,46835,42204,47860,52744,44791,45299,48290,47614,56550,66266,49047,46204,41872,41463,46728,44539,37024,33458,53725,52583,38104,36359,47179,46543,48354,46507,45045,48170,52179,56359,53314,43542,--,46958,--,55282,58912,56329,38732,39469,28239,27344,31352,26747,0,27102,--,0,18626,--,18461,18962,0,0,0,0,13155,16900,8453,11132,4311,7334,7552,5378,
股东权益不含少数股东权益(万元),275006,274617,273650,272896,262464,261149,260423,258834,203875,176618,176136,173719,178531,174353,176078,173605,170412,166881,189231,180870,86943,85543,86079,83358,82175,81852,36498,34453,33930,31485,30924,30631,30291,30343,29678,29399,32597,32585,14051,13828,14483,14251,14688,14342,18482,18453,18263,18027,27701,23998,22586,22166,24498,20464,20192,20035,27600,28938,27082,27951,27179,26877,26264,26234,23010,23293,25763,25683,30326,30936,32148,32771,32768,35503,36114,35958,28352,27142,25297,24115,21965,10537,7886,6863,
净资产收益率加权(%),1.06,0.71,0.28,2.3,1.89,0.64,0.49,6.36,5.09,1.57,1.34,0.94,3.42,1.22,1.28,7.71,3.67,2.12,1.65,6.14,5.94,4.33,3.21,5.36,5.75,4.7,5.58,5.83,4.84,3.93,0.95,4.11,2.99,3.35,0.93,79.24,71.44,76.8,1.59,-4.45,--,7.12,0,-23.69,0,2.34,--,3.18,0,-0.94,--,-1.25,--,4.6,--,-25.51,0,1.26,0,4.15,0,2.42,0,2.12,0,-9.85,0,-23.7,--,0,--,1.38,0.47,1.65,0,5.63,--,11.15,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
