报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
净利润(扣除非经常性损益后)(万元),12698,321,-4990,11704,9964,3644,16972,99682,76766,46618,17409,80987,56002,34966,13157,54771,26558,17028,7918,75528,40150,25255,14707,73728,42798,30675,19131,64712,--,30101,--,48885,--,20910,--,28607,--,13537,--,26532,--,13505,8941,
经营活动产生的现金流量净额(万元),80653,746,-23447,106747,29230,-59725,-73603,71502,-5763,-39596,-58824,64240,-7228,-21131,-53713,129948,45597,-34172,-68382,84742,-1965,-44391,-62084,52201,-14020,-35356,-22579,69487,3381,-22316,-18453,66541,38451,1093,-10321,38996,25795,3258,204,27200,23724,29361,7861,
现金及现金等价物净增加额(万元),-24415,-69093,-56234,-153814,-162603,-194794,-193847,186369,-54177,27283,-22942,-17231,-80447,-91046,-108435,-59549,-138664,-147742,-146415,105367,22725,-11424,-78690,-15198,-61067,-61953,-18537,-43727,-72338,-57313,-32993,5913,-1250,-25818,-18245,174671,168287,157516,1173,2311,4673,13073,2329,
总资产(万元),1836967,1816668,1747413,1809572,1951049,1899348,1919763,1925782,1688616,1572734,1553265,1525818,1479687,1431999,1348793,1384931,1226966,1048476,1018355,1055059,977951,931432,810313,820646,733498,650774,606709,570802,527786,491500,476497,473670,439349,410925,398277,404478,373833,363010,196800,189842,--,158274,139687,
流动资产(万元),671510,665280,654766,693703,841243,793211,833198,911320,804542,732703,760478,766189,735145,705299,679886,743552,632683,504734,520000,572582,511991,479755,396140,430833,392249,358206,353322,334684,318069,319243,322501,335720,319228,300796,297814,309241,291340,287030,127745,122305,--,102396,91387,
总负债(万元),683921,686963,678978,738137,850396,804267,719418,749057,642050,559303,554704,523001,518051,480426,407862,459030,555605,402502,373944,425404,398699,372881,262704,291446,257935,198593,155951,142523,131181,108174,97181,114657,99899,79490,66695,86291,72068,67111,101183,102121,--,95062,90416,
流动负债(万元),530632,541767,583486,643740,772085,727700,648918,678029,569397,488021,483756,459500,451205,413822,340525,392596,485615,335175,310190,361415,334492,310489,250584,278742,245488,186416,144019,130595,120897,98447,87657,105168,93281,73201,60430,80372,68399,63866,97666,98387,--,91777,86839,
股东权益不含少数股东权益(万元),1009578,990253,976482,977889,1003597,993806,1042151,1021647,970258,937847,929104,925081,896123,878847,875795,861901,611122,592563,598808,588548,539912,517621,520472,503310,452396,428899,427028,406551,381748,368751,366638,347945,329435,319826,319951,308171,297271,291328,91845,83925,--,60501,45956,
净资产收益率加权(%),3.04,0.34,-0.4,4.97,4.27,1.01,1.75,13.16,8.78,5.54,2.06,9.88,6.75,4.2,1.58,10.84,6.56,3.44,1.71,14.87,8.39,5.53,3.12,17.41,10.49,7.61,4.74,18.07,11.92,8.97,5.01,15.11,9.79,6.86,3.79,13.52,15.64,12.53,9.01,39.27,--,27.08,26.41,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
