报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1993-12-31,
净利润(扣除非经常性损益后)(万元),504,-982,-1291,-3024,-997,54,382,-1488,849,-524,1041,57,1056,-430,-93,-8858,724,110,1010,27,2330,1995,1280,-7378,523,207,31,61,--,128,--,-1132,--,247,--,1016,--,398,--,181,--,-585,0,-13709,0,364,0,-7741,0,-2324,--,372,0,150,0,-11476,0,-1928,0,1191,0,5057,--,6528,0,5493,0,8131,8411,6034,--,7615,4441,5104,3444,1503,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),1066,-317,-1373,2257,3807,1903,567,-1079,-32444,-29464,-2770,1158,2384,3064,4512,-13611,-16414,-16742,74,2009,-784,748,-59,-1902,2249,2584,-790,5456,1280,-682,-1378,2007,-308,-3865,-4599,21842,21100,-70,-708,5700,-9957,1424,2814,6869,5988,6687,1755,2692,3393,5209,3137,-3726,3552,7548,1420,-542,824,1853,-167,5405,13231,5944,6344,8291,4974,683,-1338,17192,0,9978,--,2940,4215,2356,2259,344,-1461,-437,-820,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-602,-2322,-1608,-130,-677,655,-1360,-2422,-2679,-4661,-3180,4509,3676,-124,-365,-796,-2597,-1660,3268,-11194,-12090,-1896,-1421,-5637,-6395,-5028,668,-469,580,-810,-1563,6624,1432,-4086,-4715,6317,22973,-205,-807,671,-3332,-745,-2884,-1031,-1953,3697,1920,-8885,-125,1716,4541,-4244,0,2932,-2916,-17115,-10466,-5101,-1892,-769,15669,9422,--,4276,-2590,-3700,-2120,5433,0,5720,--,27153,10801,1865,330,720,-9,-197,-862,--,--,--,--,--,--,--,--,
总资产(万元),89460,88354,89538,92588,90407,92458,92178,93163,94594,92428,121451,101736,109971,107753,102580,83453,85544,84789,84893,81808,84287,83390,83687,82258,91468,92887,92571,91285,88073,98336,96841,96994,97730,98121,97478,96204,76514,75856,75491,75269,74783,86492,79132,77607,94520,94439,89611,88326,114993,118728,126649,122853,118608,118517,113062,129547,121769,124539,134872,138926,138189,136125,137351,123023,117141,121454,116353,114500,115147,115668,112107,108194,40265,27467,23400,21671,21457,18033,22619,29924,33008,27391,24811,26139,29467,28319,25461,
流动资产(万元),72991,70966,73676,76339,74526,76164,75996,76979,79697,77042,86831,67590,70624,67047,61718,44284,41449,39678,38338,34863,45659,44434,44303,44956,47965,48600,47548,45638,43004,52808,50745,50588,42227,38621,37316,35600,45216,42503,41623,40951,40003,51186,44627,41596,56049,55753,50354,48100,59891,62702,69030,66539,0,61610,53536,73424,62646,67345,80182,84470,85307,84310,--,73551,67821,75356,--,--,77881,0,73503,0,0,--,0,0,12410,8747,11694,15579,17343,13332,12153,12820,15846,15382,13746,
总负债(万元),23985,25071,26645,28307,24020,24939,24107,25608,24485,24008,53010,40626,48199,47412,42047,22584,14728,12405,11769,9649,8574,8188,9456,9181,8639,10257,9975,8261,5433,6084,5088,5417,4578,9450,9172,8232,4439,4221,4016,4032,4369,16382,8515,8321,10050,10622,6115,4950,14432,17627,24919,21736,0,17120,12557,29256,12997,13781,24148,28243,23459,21538,--,13453,7340,9734,7925,8239,8429,11307,10901,9890,15107,6984,4144,5988,10951,7603,6594,10929,12088,9336,5258,5242,6066,5459,4388,
流动负债(万元),23957,25040,26612,28270,23950,24819,23903,25388,24319,23782,52665,40527,46590,45756,40390,20927,14410,11907,11271,9160,7874,7542,8810,8534,8311,9930,9647,7933,5258,5811,4894,5223,4498,9371,9092,8152,4439,4221,4016,4032,4369,16382,8515,8061,9876,10448,5942,4782,14339,17443,24885,21703,0,17104,12542,29240,12981,13765,24132,28228,23443,21523,--,13438,7324,9678,--,--,8414,0,10885,0,0,--,0,0,10936,6843,5803,10883,12042,8965,4813,4499,5247,4468,3030,
股东权益不含少数股东权益(万元),60867,58982,58641,59920,61925,62967,63220,62864,65497,64044,63205,61110,61699,60171,60567,60662,67644,68516,69117,68107,70380,69798,68794,67511,74780,74464,74287,74582,73894,71195,71064,71044,72575,71854,71763,71640,72075,71635,71475,71238,70414,70110,70617,68904,84047,83367,83030,82891,100012,100527,101132,100493,100366,100298,100191,99976,108428,110409,110375,110330,114368,114219,113476,109208,109434,111358,108042,105900,106404,104027,100885,98001,24884,20483,19256,15683,10506,10429,15612,18579,20773,17900,19900,20896,23247,22678,20837,
净资产收益率加权(%),1.57,-1.58,-2.16,-4.8,-1.51,0.16,0.57,1.17,1.68,3.29,1.74,0.73,1.69,-0.81,-0.16,-11.56,-0.68,0.83,1.23,0.88,4.16,3.33,1.88,-9.95,0.27,-0.16,-0.4,1.39,0.45,0.21,0.03,-0.84,0.77,0.3,0.17,1.07,0.91,0.56,0.33,3.33,--,-0.12,0,-18.43,0,0.57,0,-19.28,0,-2.45,--,0.71,0,0.15,0,-9.85,0,0.07,0,1.02,0,4.49,--,6.38,0,0,0,8.38,0,5.97,--,25.32,19.4,0,0,0,--,--,--,--,--,0,0,--,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
