报告期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
流动资产合计(万元),508114,515427,515160,489827,477925,459912,445784,414656,398890,420536,420732,252622,254731,234815,235517,232232,249113,235643,218372,224244,279537,285103,282996,269532,290557,290773,278312,269453,297427,304062,318784,318260,318183,99888,89283,92881,44572,
固定资产净额(万元),--,249900,--,256977,255667,262600,267113,272260,266193,270893,270522,246524,214005,217645,219113,251833,142152,142618,141637,141782,74061,66701,65841,67028,51957,51331,51240,51924,52490,52999,53226,54022,53037,52748,53300,40557,21444,
资产总计(万元),891078,884786,881864,855722,845099,831195,819115,788737,775118,797374,795499,625045,622965,604856,584734,570696,578985,549607,517309,508791,502084,498790,482136,465803,470960,456996,432428,416572,432037,424070,427322,422542,416186,189288,177111,150944,83191,
流动负债合计(万元),76191,76586,79169,76466,70726,68417,59400,60729,62070,95308,93290,74061,89701,84264,66422,70742,76681,59600,33195,36726,36618,42924,30310,24703,32280,26803,21677,13022,29675,26815,33024,37398,41125,41930,53410,64075,28842,
非流动负债合计(万元),22605,22832,22820,22890,17104,16857,16502,16829,17549,18210,18177,17722,18112,17955,17212,17214,17457,17790,16162,16654,16604,15946,15683,15267,15866,15943,19279,19053,20399,17162,15976,14980,20747,20757,14598,7814,5946,
负债合计(万元),98796,99418,101988,99356,87830,85273,75902,77558,79619,113517,111466,91783,107813,102218,83634,87956,94138,77390,49357,53381,53222,58870,45992,39969,48146,42745,40956,32075,50073,43977,49000,52378,61872,62687,68008,71889,34788,
所有者权益(或股东权益)合计(万元),792282,785367,779876,756366,757269,745922,743213,711179,695500,683857,684032,533262,515152,502638,501100,482740,484848,472218,467952,455410,448862,439919,436144,425834,422814,414251,391473,384497,381964,380093,378322,370164,354313,126601,109103,79055,48403,
期初现金及现金等价物余额(万元),77759,77759,77759,80268,80268,80268,80268,54807,54807,54807,54807,43059,43059,43059,43059,40153,40153,40153,40153,70963,70963,70963,70963,149906,149906,149906,149906,196250,196250,196250,196250,40309,40309,40309,21084,21084,12613,6327,
经营活动产生的现金流量净额(万元),32023,41578,36665,7237,18459,18824,-15435,11465,-16326,-12475,-10550,63164,22955,31023,2856,13188,-13941,1651,-2090,10590,-9350,15734,2909,5532,4229,11464,11912,7013,-1449,-4767,-8561,-40849,-23024,2657,29972,7,31821,21018,
投资活动产生的现金流量净额(万元),-13024,-44924,-24681,4637,10684,40397,4177,-95255,-58387,-69534,-3870,-50494,-25859,-24313,-7189,-10500,2123,524,8096,-35375,13400,-11473,-3275,-88594,-58142,-47462,-6197,-29669,-21157,-11987,-1184,-17788,-13976,-13313,-30715,-16151,-21057,-12808,
筹资活动产生的现金流量净额(万元),-22280,-19687,-4993,-14385,-9799,-4660,1109,109275,108812,111882,129142,-2334,-3217,-8067,126,240,6181,359,-74,-6031,-4129,-933,0,4116,4529,3293,-1000,-23691,-13757,-12292,-4853,214574,219507,4548,19969,9056,-2294,-1924,
现金及现金等价物净增加额(万元),-3285,-23043,6984,-2509,19366,54565,-10160,25461,34103,29870,114732,10347,-6119,-1357,-4209,2906,-5641,2533,5925,-30810,-67,3341,-380,-78942,-49382,-32717,4706,-46344,-36361,-29044,-14595,155941,182506,-6108,19225,-7088,8471,6286,
期末现金及现金等价物余额(万元),74473,54716,84742,77759,99634,134832,70108,80268,88910,84677,169539,53406,36940,41702,38850,43059,34512,42686,46079,40153,70897,74305,70583,70963,100524,117189,154612,149906,159889,167206,181655,196250,222815,34201,40309,13996,21084,12613,		
		
  
